,nombre_act,codigo_act
0,Beneficio de productos agrícolas,115113
7,Servicios relacionados con la cría y explotación de animales,115210
8,Otros servicios relacionados con la agricultura,115119
9,"Piscicultura y otra acuicultura, excepto camaronicultura",112512
18,Minería de hierro,212210
19,Minería de arena y grava para la construcción,212321
21,Otros servicios relacionados con la minería,213119
22,Perforación de pozos petroleros y de gas,213111
23,Minería de barita,212393
24,Minería de otros minerales no metálicos,212399
25,Extracción de petróleo y gas,211110
28,Minería de sal,212391
29,Minería de oro,212221
32,Minería de otros minerales metálicos,212299
47,Minería de plomo y zinc,212232
49,Minería de carbón mineral,212110
54,Minería de otras arcillas y de otros minerales refractarios,212329
55,Minería de cobre,212231
67,"Captación, tratamiento y suministro de agua realizados por el sector privado",222112
68,"Generación, transmisión y distribución de energía eléctrica",221110
69,"Captación, tratamiento y suministro de agua realizados por el sector público",222111
147,Suministro de gas por ductos al consumidor final,222210
517,Edificación de vivienda multifamiliar,236112
518,Edificación de vivienda unifamiliar,236111
520,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",236221
521,Trabajos de albañilería,238130
522,"Construcción de carreteras, puentes y similares",237312
524,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",237111
527,Instalaciones de sistemas centrales de aire acondicionado y calefacción,238222
530,Construcción de obras para telecomunicaciones,237132
532,Instalaciones hidrosanitarias y de gas,238221
533,Instalaciones eléctricas en construcciones,238210
534,Colocación de pisos flexibles y de madera,238330
537,Colocación de muros falsos y aislamiento,238311
538,Trabajos de pintura y otros cubrimientos de paredes,238320
539,"Trabajos de enyesado, empastado y tiroleado",238312
547,Otras instalaciones y equipamiento en construcciones,238290
548,Construcción de obras de urbanización,237212
551,Supervisión de edificación de inmuebles comerciales y de servicios,236222
555,Construcción de obras para transporte eléctrico y ferroviario,237993
568,"Edificación de naves y plantas industriales, excepto la supervisión",236211
570,Otras construcciones de ingeniería civil,237999
573,Construcción de obras de generación y conducción de energía eléctrica,237131
596,Montaje de estructuras de acero prefabricadas,238122
598,Otros trabajos de acabados en edificaciones,238390
600,Otros trabajos en exteriores,238190
620,Realización de trabajos de carpintería en el lugar de la construcción,238350
623,Supervisión de construcción de vías de comunicación,237313
636,Supervisión de edificación residencial,236113
638,Preparación de terrenos para la construcción,238910
661,Otros trabajos especializados para la construcción,238990
675,Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones,237133
687,Supervisión de construcción de obras para petróleo y gas,237123
692,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego",237113
711,Supervisión de división de terrenos y de construcción de obras de urbanización,237213
739,Supervisión de construcción de otras obras de ingeniería civil,237994
770,Construcción de plantas de refinería y petroquímica,237122
771,Supervisión de edificación de naves y plantas industriales,236212
803,Trabajos de cimentaciones,238110
827,Colocación de pisos cerámicos y azulejos,238340
833,Construcción de sistemas de distribución de petróleo y gas,237121
1042,Instalación de señalamientos y protecciones en obras viales,237311
1134,"Construcción de obras marítimas, fluviales y subacuáticas",237992
1330,Montaje de estructuras de concreto prefabricadas,238121
1650,Construcción de presas y represas,237991
1897,Construcción de sistemas de riego agrícola,237112
2960,Purificación y embotellado de agua,312112
2961,Elaboración de tortillas de maíz y molienda de nixtamal,311830
2963,Panificación tradicional,311812
